B365L,Round,Date,winner_name,WRank,Lsets,Comment,tourney_level,PSW,PSL,LRank,Surface,B365W,Wsets,tourney_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Best of
2.1,1st Round,2016-01-04,Dimitrov G.,28.0,0,Completed,ATP250,1.68,2.31,15.0,Hard,1.66,2,Brisbane International,Simon G.,6.0,3.0,7.0,6.0,,,,,,,3
2.37,1st Round,2016-01-04,Kudla D.,69.0,1,Completed,ATP250,1.63,2.4,129.0,Hard,1.53,2,Brisbane International,Smith J.P.,4.0,6.0,6.0,3.0,6.0,2.0,,,,,3
2.0,1st Round,2016-01-04,Kamke T.,277.0,0,Completed,ATP250,1.9,1.99,231.0,Hard,1.72,2,Brisbane International,Mitchell B.,6.0,2.0,6.0,4.0,,,,,,,3
1.83,1st Round,2016-01-04,Chung H.,51.0,0,Completed,ATP250,1.93,1.96,60.0,Hard,1.83,2,Brisbane International,Groth S.,7.0,6.0,6.0,4.0,,,,,,,3
2.5,1st Round,2016-01-04,Millman J.,92.0,1,Completed,ATP250,1.6,2.47,91.0,Hard,1.5,2,Chennai Open,Donskoy E.,6.0,7.0,6.0,4.0,7.0,6.0,,,,,3
1.36,1st Round,2016-01-04,Pavic A.,449.0,1,Completed,ATP250,3.05,1.43,73.0,Hard,3.0,2,Chennai Open,Almagro N.,3.0,6.0,7.0,5.0,7.0,6.0,,,,,3
2.62,1st Round,2016-01-04,Coric B.,44.0,1,Completed,ATP250,1.45,2.96,84.0,Hard,1.44,2,Chennai Open,Granollers M.,7.0,6.0,2.0,6.0,6.0,4.0,,,,,3
2.62,1st Round,2016-01-04,Dzumhur D.,82.0,0,Completed,ATP250,1.48,2.84,90.0,Hard,1.44,2,Qatar Exxon Mobil Open,Cecchinato M.,6.0,4.0,6.0,2.0,,,,,,,3
51.0,1st Round,2016-01-04,Chardy J.,31.0,0,Completed,ATP250,1.01,51.0,1512.0,Hard,1.0,2,Qatar Exxon Mobil Open,Zayid M. S.,6.0,1.0,6.0,1.0,,,,,,,3
2.1,1st Round,2016-01-04,Edmund K.,102.0,0,Completed,ATP250,1.83,2.07,43.0,Hard,1.66,2,Qatar Exxon Mobil Open,Klizan M.,6.0,2.0,6.0,3.0,,,,,,,3
21.0,1st Round,2016-01-04,Djokovic N.,1.0,0,Completed,ATP250,1.01,24.11,118.0,Hard,1.01,2,Qatar Exxon Mobil Open,Brown D.,6.0,2.0,6.0,2.0,,,,,,,3
2.5,1st Round,2016-01-04,Haase R.,66.0,1,Completed,ATP250,1.5,2.76,195.0,Hard,1.5,2,Qatar Exxon Mobil Open,Karatsev A.,5.0,7.0,6.0,1.0,7.0,5.0,,,,,3
1.18,1st Round,2016-01-04,Munoz-De La Nava D.,75.0,1,Completed,ATP250,5.11,1.2,17.0,Hard,4.5,2,Qatar Exxon Mobil Open,Lopez F.,3.0,6.0,7.0,6.0,7.0,5.0,,,,,3
2.5,1st Round,2016-01-04,Kuznetsov An.,79.0,0,Completed,ATP250,1.59,2.49,114.0,Hard,1.5,2,Qatar Exxon Mobil Open,Ilhan M.,6.0,2.0,6.0,4.0,,,,,,,3
3.5,1st Round,2016-01-05,Goffin D.,16.0,0,Completed,ATP250,1.31,3.74,37.0,Hard,1.28,2,Brisbane International,Bellucci T.,6.0,4.0,6.0,4.0,,,,,,,3
1.72,1st Round,2016-01-05,Troicki V.,22.0,0,Completed,ATP250,2.37,1.65,32.0,Hard,2.0,2,Brisbane International,Johnson S.,7.0,6.0,6.0,1.0,,,,,,,3
3.25,1st Round,2016-01-05,Thiem D.,20.0,1,Completed,ATP250,1.37,3.33,120.0,Hard,1.33,2,Brisbane International,Duckworth J.,3.0,6.0,6.0,4.0,6.0,3.0,,,,,3
1.72,1st Round,2016-01-05,Stepanek R.,197.0,0,Completed,ATP250,2.0,1.89,76.0,Hard,2.0,2,Brisbane International,Lajovic D.,6.0,0.0,6.0,3.0,,,,,,,3
10.0,1st Round,2016-01-05,Dodig I.,87.0,0,Completed,ATP250,1.07,10.95,813.0,Hard,1.06,2,Brisbane International,Anderson O.,6.0,3.0,6.0,2.0,,,,,,,3
1.57,1st Round,2016-01-05,Pouille L.,78.0,1,Completed,ATP250,2.38,1.64,117.0,Hard,2.25,2,Brisbane International,Nishioka Y.,4.0,6.0,6.0,3.0,7.0,5.0,,,,,3
1.72,1st Round,2016-01-05,Kukushkin M.,65.0,0,Completed,ATP250,2.14,1.78,61.0,Hard,2.0,2,Brisbane International,Istomin D.,6.0,2.0,7.0,5.0,,,,,,,3
4.5,1st Round,2016-01-05,Tomic B.,18.0,0,Completed,ATP250,1.19,5.25,71.0,Hard,1.18,2,Brisbane International,Mahut N.,6.0,4.0,6.0,3.0,,,,,,,3
2.5,1st Round,2016-01-05,Garcia-Lopez G.,27.0,1,Completed,ATP250,1.56,2.56,96.0,Hard,1.5,2,Chennai Open,Daniel T.,4.0,6.0,7.0,5.0,6.0,2.0,,,,,3
2.1,1st Round,2016-01-05,Rublev A.,185.0,1,Completed,ATP250,1.7,2.27,177.0,Hard,1.66,2,Chennai Open,Devvarman S.,6.0,3.0,3.0,6.0,6.0,3.0,,,,,3
