tourney_name,Date,tourney_level,Court,Surface,Round,Best of,winner_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Comesana F.,Altmaier D.,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.77,2.15
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Moutet C.,Hijikata R.,3.0,6.0,6.0,1.0,7.0,5.0,,,,,2.0,1.0,Completed,1.29,3.75,1.28,3.93
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Muller A.,Lehecka J.,2.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,2.63,1.5,2.52,1.58
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Thompson J.,Mpetshi G.,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.62,2.3,1.75,2.19
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Ugo Carabelli C.,Carreno Busta P.,6.0,2.0,1.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.8,1.93,1.96
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Taberner C.,Kovacevic A.,6.0,3.0,1.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.57,2.38,1.61,2.45
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Griekspoor T.,Kecmanovic M.,4.0,6.0,6.0,3.0,6.0,0.0,,,,,2.0,1.0,Completed,1.57,2.38,1.63,2.4
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Burruchaga R.,Sonego L.,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.45,1.61
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Kopriva V.,Halys Q.,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.54,2.63
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Lajovic D.,Nishioka Y.,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.24,4.44
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Norrie C.,O Connell C.,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.68,2.31
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Passaro F.,Tseng C.H.,6.0,0.0,2.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.5,1.53,2.57,1.56
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Virtanen O.,Medjedovic H.,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.33,1.22,4.15,1.27
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Djere L.,Etcheverry T.,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.91,1.98
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Gaubas V.,Dzumhur D.,7.0,6.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.91,1.91,1.93,1.96
Internazionali BNL d'Italia,2025-05-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Darderi L.,Bu Y.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.38,3.26
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,De Jong J.,Shevchenko A.,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.62,2.43
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Bautista Agut R.,Arnaldi M.,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,4.0,1.25,4.56,1.24
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Jarry N.,Gaston H.,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.55,2.62
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Vukic A.,Moreno De Alboran N.,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.26,1.71
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Navone M.,Cina F.,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.19,5.32
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Marozsan F.,Fonseca J.,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.0,1.4,3.13,1.41
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Seyboth Wild T.,Borges N.,6.0,1.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.73,2.11,1.8
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Munar J.,Barrios M.,4.0,6.0,6.0,2.0,7.0,5.0,,,,,2.0,1.0,Completed,1.57,2.38,1.6,2.48
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Nardi L.,Cobolli F.,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.2,1.36,3.27,1.38
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Gigante M.,Rinderknech A.,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.77,2.15
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Giron M.,Diallo G.,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.5,1.53,2.56,1.57
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Bublik A.,Safiullin R.,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.91,1.91,1.98,1.91
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Ofner S.,Carballes Baena R.,6.0,3.0,0.0,0.0,,,,,,,1.0,0.0,Retired,1.67,2.2,1.7,2.24
Internazionali BNL d'Italia,2025-05-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Martinez P.,Bellucci M.,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.71,2.24
