B365L,Round,Date,winner_name,WRank,Lsets,Comment,tourney_level,PSW,PSL,LRank,Surface,B365W,Wsets,tourney_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Best of
2.2,1st Round,2025-04-23,Navone M.,85.0,0,Completed,Masters 1000,1.63,2.42,37.0,Clay,1.67,2,Mutua Madrid Open,Mpetshi G.,6.0,4.0,6.0,4.0,,,,,,,3
1.53,1st Round,2025-04-23,Rinderknech A.,76.0,0,Completed,Masters 1000,2.51,1.58,73.0,Clay,2.5,2,Mutua Madrid Open,Safiullin R.,7.0,6.0,6.0,1.0,,,,,,,3
2.3,1st Round,2025-04-23,Cina F.,373.0,0,Completed,Masters 1000,1.57,2.55,169.0,Clay,1.62,2,Mutua Madrid Open,Wong C.,7.0,6.0,6.0,1.0,,,,,,,3
1.62,1st Round,2025-04-23,O Connell C.,87.0,0,Completed,Masters 1000,2.23,1.72,59.0,Clay,2.3,2,Mutua Madrid Open,Ugo Carabelli C.,6.0,3.0,6.0,4.0,,,,,,,3
1.3,1st Round,2025-04-23,Bonzi B.,62.0,0,Completed,Masters 1000,3.69,1.32,109.0,Clay,3.5,2,Mutua Madrid Open,Cilic M.,6.0,3.0,6.0,2.0,,,,,,,3
2.3,1st Round,2025-04-23,Borges N.,41.0,1,Completed,Masters 1000,1.69,2.28,96.0,Clay,1.62,2,Mutua Madrid Open,Carreno Busta P.,6.0,7.0,7.0,6.0,6.0,3.0,,,,,3
1.53,1st Round,2025-04-23,Quinn E.,119.0,0,Completed,Masters 1000,2.6,1.55,138.0,Clay,2.5,2,Mutua Madrid Open,Lajovic D.,6.0,3.0,6.0,4.0,,,,,,,3
1.5,1st Round,2025-04-23,Bautista Agut R.,55.0,1,Completed,Masters 1000,2.72,1.51,53.0,Clay,2.63,2,Mutua Madrid Open,Munar J.,6.0,4.0,2.0,6.0,6.0,3.0,,,,,3
1.62,1st Round,2025-04-23,Ofner S.,153.0,0,Completed,Masters 1000,2.38,1.63,80.0,Clay,2.3,2,Mutua Madrid Open,Gaston H.,6.0,4.0,6.0,3.0,,,,,,,3
4.33,1st Round,2025-04-23,Djere L.,71.0,0,Completed,Masters 1000,1.24,4.48,112.0,Clay,1.22,2,Mutua Madrid Open,Fognini F.,6.0,2.0,6.0,3.0,,,,,,,3
1.91,1st Round,2025-04-23,Comesana F.,70.0,0,Completed,Masters 1000,1.89,2.0,48.0,Clay,1.91,2,Mutua Madrid Open,Martinez P.,6.0,4.0,6.0,4.0,,,,,,,3
2.38,1st Round,2025-04-23,Cerundolo J.M.,126.0,1,Completed,Masters 1000,1.64,2.39,77.0,Clay,1.57,2,Mutua Madrid Open,Kovacevic A.,3.0,6.0,7.0,5.0,6.0,2.0,,,,,3
1.91,1st Round,2025-04-23,Bublik A.,75.0,0,Completed,Masters 1000,1.99,1.89,38.0,Clay,1.91,2,Mutua Madrid Open,Michelsen A.,7.0,6.0,7.0,6.0,,,,,,,3
2.38,1st Round,2025-04-23,Monfils G.,42.0,1,Completed,Masters 1000,1.67,2.33,353.0,Clay,1.57,2,Mutua Madrid Open,Gojo B.,1.0,6.0,6.0,2.0,6.0,4.0,,,,,3
1.62,1st Round,2025-04-23,Cobolli F.,36.0,0,Completed,Masters 1000,2.37,1.65,58.0,Clay,2.3,2,Mutua Madrid Open,Marozsan F.,7.0,6.0,7.0,5.0,,,,,,,3
3.2,1st Round,2025-04-24,Nishikori K.,64.0,1,Completed,Masters 1000,1.41,3.11,83.0,Clay,1.36,2,Mutua Madrid Open,Vukic A.,6.0,4.0,3.0,6.0,6.0,3.0,,,,,3
2.0,1st Round,2025-04-24,Dzumhur D.,63.0,1,Completed,Masters 1000,1.93,1.93,66.0,Clay,1.8,2,Mutua Madrid Open,Bellucci M.,4.0,6.0,6.0,4.0,6.0,2.0,,,,,3
1.57,1st Round,2025-04-24,Etcheverry T.,51.0,1,Completed,Masters 1000,2.25,1.71,61.0,Clay,2.38,2,Mutua Madrid Open,Medjedovic H.,6.0,4.0,6.0,7.0,6.0,4.0,,,,,3
1.57,1st Round,2025-04-24,Diallo G.,78.0,0,Completed,Masters 1000,2.59,1.55,50.0,Clay,2.38,2,Mutua Madrid Open,Bergs Z.,6.0,1.0,6.0,2.0,,,,,,,3
1.57,1st Round,2025-04-24,Sonego L.,43.0,0,Completed,Masters 1000,2.31,1.68,47.0,Clay,2.38,2,Mutua Madrid Open,Kecmanovic M.,6.0,4.0,7.0,6.0,,,,,,,3
3.0,1st Round,2025-04-24,Darderi L.,46.0,0,Completed,Masters 1000,1.4,3.17,52.0,Clay,1.4,2,Mutua Madrid Open,Halys Q.,6.0,4.0,6.0,4.0,,,,,,,3
1.67,1st Round,2025-04-24,Jarry N.,57.0,0,Completed,Masters 1000,2.28,1.69,67.0,Clay,2.2,2,Mutua Madrid Open,Altmaier D.,6.0,3.0,6.0,2.0,,,,,,,3
3.5,1st Round,2025-04-24,Norrie C.,91.0,1,Completed,Masters 1000,1.3,3.8,148.0,Clay,1.3,2,Mutua Madrid Open,Landaluce M.,6.0,7.0,7.0,5.0,6.0,4.0,,,,,3
2.1,1st Round,2025-04-24,Arnaldi M.,44.0,1,Completed,Masters 1000,1.8,2.11,104.0,Clay,1.73,2,Mutua Madrid Open,Coric B.,4.0,6.0,6.0,4.0,7.0,5.0,,,,,3
3.5,1st Round,2025-04-24,Fonseca J.,65.0,0,Completed,Masters 1000,1.32,3.72,114.0,Clay,1.3,2,Mutua Madrid Open,Moller E.,6.0,2.0,6.0,3.0,,,,,,,3
2.1,1st Round,2025-04-24,Giron M.,45.0,1,Completed,Masters 1000,1.79,2.13,69.0,Clay,1.73,2,Mutua Madrid Open,Tien L.,6.0,1.0,1.0,6.0,7.0,6.0,,,,,3
3.75,1st Round,2025-04-24,Griekspoor T.,34.0,0,Completed,Masters 1000,1.31,3.73,95.0,Clay,1.29,2,Mutua Madrid Open,Kopriva V.,6.0,1.0,6.0,4.0,,,,,,,3
2.75,1st Round,2025-04-24,Opelka R.,103.0,0,Completed,Masters 1000,1.44,2.98,84.0,Clay,1.44,2,Mutua Madrid Open,Hijikata R.,7.0,5.0,7.0,5.0,,,,,,,3
2.0,1st Round,2025-04-24,Fearnley J.,68.0,0,Completed,Masters 1000,1.83,2.07,72.0,Clay,1.8,2,Mutua Madrid Open,Bu Y.,6.0,3.0,7.0,6.0,,,,,,,3
1.44,2nd Round,2025-04-25,Bonzi B.,62.0,0,Completed,Masters 1000,2.88,1.48,28.0,Clay,2.75,2,Mutua Madrid Open,Hurkacz H.,6.0,4.0,7.0,5.0,,,,,,,3
7.0,2nd Round,2025-04-25,Cerundolo F.,21.0,0,Completed,Masters 1000,1.12,7.22,160.0,Clay,1.1,2,Mutua Madrid Open,Mayot H.,6.0,3.0,6.0,4.0,,,,,,,3
1.2,2nd Round,2025-04-25,Comesana F.,70.0,0,Completed,Masters 1000,5.22,1.19,14.0,Clay,4.5,2,Mutua Madrid Open,Fils A.,7.0,6.0,6.0,4.0,,,,,,,3
6.5,2nd Round,2025-04-25,Ruud C.,15.0,0,Completed,Masters 1000,1.14,6.57,76.0,Clay,1.11,2,Mutua Madrid Open,Rinderknech A.,6.0,3.0,6.0,4.0,,,,,,,3
1.29,2nd Round,2025-04-25,Cerundolo J.M.,126.0,0,Completed,Masters 1000,3.78,1.32,19.0,Clay,3.75,2,Mutua Madrid Open,Auger-Aliassime F.,7.0,6.0,6.0,4.0,,,,,,,3
