tourney_name,Date,tourney_level,Court,Surface,Round,Best of,winner_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Duckworth J.,Simon G.,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,4.5,1.18,4.67,1.23
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Kokkinakis T.,Benneteau J.,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.67,1.53
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Chardy J.,Golubev A.,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.34,3.5
Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Tomic B.,Querrey S.,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.65,2.37
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Muller G.,Roger-Vasselin E.,6.0,7.0,6.0,1.0,7.0,6.0,,,,,2.0,1.0,Completed,1.66,2.1,1.81,2.1
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Haider-Maurer A.,Granollers M.,3.0,6.0,7.0,6.0,2.0,0.0,,,,,1.0,1.0,Retired,2.75,1.4,2.76,1.5
Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Coric B.,Haase R.,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.75,2.18
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Bolelli S.,Becker B.,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.16,1.76
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Dodig I.,Safwat M.,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.17,5.84
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Gasquet R.,Andujar P.,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.24,4.44
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Brown D.,Lorenzi P.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.57,2.55
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Verdasco F.,Gabashvili T.,4.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,1.42,3.09
Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Karlovic I.,Rosol L.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.53,2.65
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Kukushkin M.,Copil M.,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.48,2.84
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Kubot L.,Anderson K.,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.5,1.28,4.06,1.28
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Matosevic M.,2.0,6.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,2.0,1.72,2.14,1.78
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Nieminen J.,Kudla D.,4.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,1.66,2.1,1.69,2.29
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Klizan M.,Melzer J.,6.0,7.0,7.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.66,2.1,1.74,2.2
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Millman J.,Williams R.,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.49,2.8
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Dolgopolov O.,Berlocq C.,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.86
Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Groth S.,Hewitt L.,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.4,3.17,1.4
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Ymer E.,Sijsling I.,6.0,4.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,3.25,1.33,3.35,1.38
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Berankis R.,Vanni L.,6.0,1.0,2.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.33,3.25,1.34,3.5
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Vesely J.,Prashanth V.,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.17,5.84
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Bedene A.,Lacko L.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.83,1.83,2.05,1.85
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Ito T.,Ramanathan R.,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.37,3.34
Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Garcia-Lopez G.,Donskoy E.,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,1.9,1.8,1.94,1.94
