tourney_name,Date,tourney_level,Court,Surface,Round,Best of,winner_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL
Monte Carlo Masters,2025-04-06,Masters 1000,Outdoor,Clay,1st Round,3.0,Vacherot V.,Struff J.L.,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.82,1.48
Monte Carlo Masters,2025-04-06,Masters 1000,Outdoor,Clay,1st Round,3.0,Gasquet R.,Arnaldi M.,6.0,3.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,4.33,1.22,4.16,1.27
Monte Carlo Masters,2025-04-06,Masters 1000,Outdoor,Clay,1st Round,3.0,Thompson J.,Mpetshi G.,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.36,1.65
Tiriac Open,2025-04-06,ATP250,Outdoor,Clay,The Final,3.0,Cobolli F.,Baez S.,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.52,1.6
U.S. Men's Clay Court Championships,2025-04-06,ATP250,Outdoor,Clay,Semifinals,3.0,Tiafoe F.,Nakashima B.,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.84,2.08
U.S. Men's Clay Court Championships,2025-04-06,ATP250,Outdoor,Clay,The Final,3.0,Brooksby J.,Tiafoe F.,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.76,1.51
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Tabilo A.,Wawrinka S.,1.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,1.67,2.2,1.69,2.28
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Giron M.,Shapovalov D.,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.82,1.48
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Lehecka J.,Korda S.,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.62,2.43
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Monfils G.,Marozsan F.,4.0,6.0,6.0,1.0,6.0,1.0,,,,,2.0,1.0,Completed,2.2,1.67,2.17,1.75
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Altmaier D.,Auger-Aliassime F.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.36,1.55
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Musetti L.,Bu Y.,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,1.2,4.5,1.23,4.67
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Berrettini M.,Navone M.,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.54,2.64
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Muller A.,Ugo Carabelli C.,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.91,1.91,2.0,1.89
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Medvedev D.,Khachanov K.,7.0,5.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.87,1.87,1.94,1.94
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Davidovich Fokina A.,Shelton B.,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,1.62,2.3,1.63,2.41
Monte Carlo Masters,2025-04-07,Masters 1000,Outdoor,Clay,1st Round,3.0,Cerundolo F.,Fognini F.,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.15,6.39
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Dimitrov G.,Jarry N.,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.38,3.28
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Martinez P.,Sonego L.,6.0,4.0,1.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,2.63,1.5,2.63,1.54
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Popyrin A.,Humbert U.,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.67,2.26,1.71
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Bautista Agut R.,Nakashima B.,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.29,1.69
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Borges N.,Rune H.,6.0,2.0,3.0,0.0,,,,,,,1.0,0.0,Retired,3.2,1.36,3.22,1.39
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Cobolli F.,Lajovic D.,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.9,1.99
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Etcheverry T.,Moutet C.,4.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,1.67,2.2,1.74,2.21
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Machac T.,Baez S.,3.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,1.73,2.1,1.83,2.07
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Fils A.,Griekspoor T.,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.5,2.63,1.51,2.72
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,1st Round,3.0,Tiafoe F.,Kecmanovic M.,6.0,2.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,2.63,1.5,2.66,1.53
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,2nd Round,3.0,Berrettini M.,Zverev A.,2.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2.38,1.57,2.44,1.63
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,2nd Round,3.0,Tsitsipas S.,Thompson J.,4.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.13,6.0,1.14,6.78
Monte Carlo Masters,2025-04-08,Masters 1000,Outdoor,Clay,2nd Round,3.0,Draper J.,Giron M.,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.29,3.75,1.28,4.11
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Davidovich Fokina A.,Etcheverry T.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.62,2.47
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Musetti L.,Lehecka J.,1.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,1.67,2.2,1.7,2.28
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Altmaier D.,Gasquet R.,7.0,5.0,5.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,3.0,1.49,2.83
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Borges N.,Martinez P.,7.0,5.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.5,2.63,1.54,2.67
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Fils A.,Cobolli F.,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.49,2.84
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Rublev A.,Monfils G.,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.52,2.72
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Alcaraz C.,Cerundolo F.,3.0,6.0,6.0,0.0,6.0,1.0,,,,,2.0,1.0,Completed,1.36,3.2,1.4,2.86
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,De Minaur A.,Machac T.,3.0,6.0,6.0,0.0,6.0,3.0,,,,,2.0,1.0,Completed,1.73,2.1,1.74,2.23
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Ruud C.,Bautista Agut R.,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.22,4.33,1.23,4.59
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Tabilo A.,Djokovic N.,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,5.0,1.17,3.69,1.25
Monte Carlo Masters,2025-04-09,Masters 1000,Outdoor,Clay,2nd Round,3.0,Popyrin A.,Tiafoe F.,3.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,1.67,2.2,1.74,2.23
