player_name,country,height,weight,date_of_birth,righthanded,index,bmi
Spadea V.,USA,182,77,19/07/1974,1,0,23.24598478
Dent T.,USA,188,88,24/04/1981,1,1,24.89814396
Martin A.,,,,,,2,
Nieminen J.,Finland,185,78,23/07/1981,0,3,22.79035793
Arthurs W.,Australia,185,91,18/03/1971,0,4,26.58875091
Sanguinetti D.,Italy,188,79,25/09/1972,1,5,22.35174287
Lapentti N.,Ecuador,188,86,13/08/1976,1,6,24.33227705
Hrbaty D.,Slovakia,183,79,04/01/1978,1,7,23.58983547
Llodra M.,France,190,80,18/05/1980,0,8,22.16066482
Saulnier C.,France,,,16/08/1975,1,9,
Sluiter R.,Netherlands,185,80,13/04/1978,1,10,23.37472608
Rusedski G.,Great Britain,193,91,06/09/1973,0,11,24.43018605
Reid T.,Australia,,,03/06/1984,1,12,
Levy H.,Israel,185,82,05/08/1978,1,13,23.95909423
van Lottum J.,Netherlands,,,10/04/1976,1,14,
Andreev I.,,,,,,15,
Amritraj P.,India,188,75,02/10/1983,1,16,21.22000905
Dupuis A.,France,185,87,24/02/1973,1,17,25.42001461
Goldstein P.,,,,,,18,
Lisnard J.R.,Monaco,173,68,25/09/1979,1,19,22.72043837
Srichaphan P.,Thailand,185,82,14/06/1979,1,20,23.95909423
Schalken S.,Netherlands,,,08/09/1976,1,21,
Knowle J.,Austria,188,75,29/04/1974,0,22,21.22000905
Moya C.,Spain,190,86,27/08/1976,1,23,23.82271468
Mantilla F.,,,,,,24,
Carlsen K.,Denmark,,,17/04/1973,0,25,
Robredo T.,Spain,180,75,01/05/1982,1,26,23.14814815
Ascione T.,France,187,89,17/01/1981,1,27,25.45111384
Heuberger I.,Switzerland,,,19/02/1976,1,28,
Sargsian S.,Armenia,,,03/06/1973,1,29,
Youzhny M.,Russia,182,72,25/06/1982,1,30,21.73650525
Ulihrach B.,Czech Republic,,,23/02/1975,1,31,
Arazi H.,Morocco,,,19/10/1973,0,32,
Henman T.,Great Britain,185,77,06/09/1974,1,33,22.49817385
Chela J.I.,Argentina,190,75,30/08/1979,1,34,20.77562327
Calleri A.,Argentina,182,86,14/09/1976,1,35,25.96304794
Soderling R.,Sweden,190,81,14/08/1984,1,36,22.43767313
Ljubicic I.,,,,,,37,
Roddick A.,USA,187,88,30/08/1982,1,38,25.16514627
Koubek S.,Austria,175,68,02/01/1977,0,39,22.20408163
Bjorkman J.,Sweden,182,83,23/03/1972,1,40,25.05736022
Sanchez D.,,,,,,41,
Novak J.,,,,,,42,
Carraz G.,France,,,09/04/1975,1,43,
Coria G.,Argentina,175,69,13/01/1982,1,44,22.53061224
Kohlschreiber P.,Germany,178,70,16/10/1983,1,45,22.09317005
Muller G.,,,,,,46,
Kuerten G.,Brazil,191,83,10/09/1976,1,47,22.75156931
Hemmes F.,Netherlands,,,28/01/1981,1,48,
Ancic M.,Croatia,195,81,30/03/1984,1,49,21.30177515
Ferreira W.,,,,,,50,
Mirnyi M.,Belarus,196,93,06/07/1977,1,51,24.20866306
Verkerk M.,Netherlands,196,90,10/10/1978,1,52,23.42773844
Kucera V.,Czech Republic,,,25/06/1987,1,53,
Philippoussis M.,Australia,196,103,07/11/1976,1,54,26.81174511
Guccione C.,Australia,200,91,30/07/1985,0,55,22.75
Davydenko N.,Russia,177,70,02/06/1981,1,56,22.34351559
Ginepri R.,USA,182,79,07/10/1982,1,57,23.8497766
Golmard J.,France,,,09/09/1973,0,58,
Melzer J.,Austria,182,75,22/05/1981,0,59,22.64219297
Karlovic I.,Croatia,211,104,28/02/1979,1,60,23.35976281
Gambill J.M.,USA,191,88,03/06/1977,1,61,24.12214577
Martin T.,,,,,,62,
Blanco G.,,,,,,63,
Berdych T.,Czech Republic,195,90,17/09/1985,1,64,23.66863905
Safin M.,Russia,193,88,27/01/1980,1,65,23.6247953
Vacek J.,Czech Republic,,,10/05/1976,1,66,
Federer R.,Switzerland,187,85,08/08/1981,1,67,24.30724356
Volandri F.,Italy,182,73,05/09/1981,1,68,22.03840116
Nalbandian D.,Argentina,180,79,,1,69,24.38271605
Mayer F.,,,,,,70,
Weiner G.,USA,,,27/04/1976,1,71,
Pavel A.,,,,,,72,
Corretja A.,Spain,180,73,11/04/1974,1,73,22.5308642
Stepanek R.,Czech Republic,185,75,27/11/1978,1,74,21.9138057
Ferrero J.C.,Spain,182,72,12/02/1980,1,75,21.73650525
Ivanisevic G.,Croatia,193,82,13/09/1971,0,76,22.0140138
Kendrick R.,USA,191,86,15/11/1979,1,77,23.57391519
Hippensteel K.,,,,,,78,
Moodie W.,RSA,196,91,14/02/1979,1,79,23.68804665
Vliegen K.,Belgium,193,75,22/06/1982,1,80,20.13476872
Ramirez-Hidalgo R.,Spain,183,74,06/01/1978,1,81,22.09680791
Acasuso J.,Argentina,190,86,20/10/1982,1,82,23.82271468
Zabaleta M.,Argentina,183,77,28/02/1978,1,83,22.99262444
Garcia A.,,,,,,84,
Squillari F.,Argentina,,,22/08/1975,0,85,
Horna L.,Peru,180,81,14/09/1980,1,86,25
Gonzalez F.,,,,,,87,
Saretta F.,Brazil,183,70,28/06/1980,1,88,20.90238586
Massu N.,Chile,182,80,10/11/1979,1,89,24.1516725
Gasquet R.,France,183,79,18/06/1986,1,90,23.58983547
Hernandez O.,,,,,,91,
Malisse X.,Belgium,185,83,19/07/1980,1,92,24.25127831
de Chaunac S.,,,,,,93,
Popp A.,Germany,,,04/11/1976,1,94,
Niemeyer F.,Canada,,,24/04/1976,1,95,
Tursunov D.,Russia,185,81,12/12/1982,1,96,23.66691015
Baker B.,,,,,,97,
Schuettler R.,Germany,180,70,25/04/1976,1,98,21.60493827
Cakl T.,Czech Republic,178,75,25/04/1981,1,99,23.67125363
Montanes A.,Spain,175,70,26/11/1980,1,100,22.85714286
Verdasco F.,Spain,188,90,15/11/1983,0,101,25.46401086
Behrend T.,Germany,,,12/12/1974,1,102,
Rochus O.,Belgium,167,65,18/01/1981,1,103,23.30668005
Salzenstein J.,USA,,,14/10/1973,0,104,
van Scheppingen D.,Netherlands,,,05/07/1975,1,105,
Lopez F.,,,,,,106,
Burgsmuller L.,Germany,,,06/12/1975,1,107,
Mamiit C.,Philippines,173,70,27/06/1976,1,108,23.38868656
Bogomolov A.,,,,,,109,
Hanescu V.,Romania,198,88,21/07/1981,1,110,22.44668911
Haas T.,Germany,187,88,03/04/1978,1,111,25.16514627
Larose S.,Canada,,,28/06/1978,1,112,
Hernych J.,Czech Republic,188,83,07/07/1979,1,113,23.48347669
Labadze I.,Georgia,188,85,09/06/1981,0,114,24.04934359
Benneteau J.,France,185,79,20/12/1981,1,115,23.082542
Rocha D.,,,,,,116,
Vanek J.,Czech Republic,185,86,24/04/1978,1,117,25.12783053
Lopez M.,,,,,,118,
Rochus C.,Belgium,170,68,15/12/1978,1,119,23.52941176
Devilder N.,France,173,65,25/03/1980,0,120,21.71806609
Lisnard J.,Monaco,173,68,25/09/1979,1,121,22.72043837
Chela J.,Argentina,190,75,30/08/1979,1,122,20.77562327
Elsner D.,Germany,,,04/01/1979,1,123,
Almagro N.,Spain,182,81,21/08/1985,1,124,24.45356841
Luczak P.,Australia,182,77,31/08/1979,1,125,23.24598478
Waske A.,Germany,188,84,31/03/1975,1,126,23.76641014
Pashanski B.,Serbia,180,74,03/11/1982,1,127,22.83950617
Kratochvil M.,Switzerland,,,07/04/1979,1,128,
Portas A.,Spain,,,15/11/1973,1,129,
Calatrava A.,Spain,,,14/06/1973,1,130,
Boutter J.,France,191,86,05/04/1974,1,131,23.57391519
Vagnozzi S.,Italy,173,60,30/05/1983,1,132,20.04744562
Guzman J.P.,Argentina,178,77,29/01/1981,0,133,24.30248706
Browne F.,Argentina,,,07/04/1976,1,134,
Mahut N.,France,191,82,21/01/1982,1,135,22.47745402
Koellerer D.,Austria,180,80,17/08/1983,1,136,24.69135802
Armando H.,USA,183,82,27/05/1978,1,137,24.48565201
Zimonjic N.,Serbia,191,91,04/06/1976,1,138,24.94449165
Haehnel J.,France,,,14/07/1980,1,139,
Jeanpierre J.,France,,,10/03/1980,1,140,
Mutis O.,France,,,02/02/1978,1,141,
Voltchkov V.,Belarus,,,07/04/1978,1,142,
Starace P.,Italy,187,84,14/07/1981,1,143,24.02127599
Falla A.,Colombia,185,76,14/11/1983,0,144,22.20598977
Elseneer G.,Belgium,188,77,03/06/1978,1,145,21.78587596
Chiudinelli M.,Switzerland,185,85,10/09/1981,1,146,24.83564646
Seppi A.,Italy,191,78,21/02/1984,1,147,21.38099285
Marray J.,Great Britain,188,76,10/03/1981,1,148,21.50294251
Dancevic F.,Canada,185,79,26/09/1984,1,149,23.082542
Delgado J.,,,,,,150,
Ancic I.,Croatia,,,29/10/1979,1,151,
Flanagan I.,Great Britain,,,15/01/1982,1,152,
Kohlmann M.,Germany,188,84,11/01/1974,1,153,23.76641014
Petzschner P.,Germany,185,77,24/03/1984,1,154,22.49817385
Bogdanovic A.,Great Britain,183,74,22/05/1984,0,155,22.09680791
Parmar A.,Great Britain,,,22/03/1978,1,156,
Bracciali D.,Italy,178,82,10/01/1978,1,157,25.88057064
Peya A.,Austria,183,83,27/06/1980,1,158,24.78425752
Pescosolido S.,Italy,,,13/06/1971,1,159,
Hilton M.,Great Britain,,,20/04/1981,0,160,
Verdasco M.,Spain,,,27/08/1986,1,161,
Vahaly B.,USA,,,19/07/1979,1,162,
Vassallo-Arguello M.,Argentina,185,80,10/02/1980,1,163,23.37472608
di Pasquale A.,France,,,11/02/1979,1,164,
Phau B.,Germany,175,70,04/10/1979,1,165,22.85714286
Andersen J.F.,Norway,,,29/08/1972,0,166,
Ram R.,,,,,,167,
de Voest R.,,,,,,168,
Okun N.,Israel,185,85,16/04/1978,1,169,24.83564646
Schukin Y.,Kazakhstan,185,88,26/06/1979,1,170,25.71219869
Cermak F.,Czech Republic,193,80,14/11/1976,1,171,21.47708663
Eschauer W.,Austria,187,75,26/04/1974,1,172,21.44756785
Minar I.,Czech Republic,182,85,21/05/1984,1,173,25.66115203
Krajan Z.,Croatia,,,03/02/1979,1,174,
Kubot L.,Poland,191,88,16/05/1982,1,175,24.12214577
Mathieu P.H.,France,185,74,12/01/1982,1,176,21.62162162
Pless K.,Denmark,188,84,09/02/1981,1,177,23.76641014
Baghdatis M.,Cyprus,178,82,17/06/1985,1,178,25.88057064
Tabara M.,Czech Republic,,,11/08/1979,1,179,
Ketola T.,Finland,,,21/02/1975,1,180,
Kim K.,,,,,,181,
Tsonga J.W.,France,188,93,17/04/1985,1,182,26.31281123
Lu H.,,,,,,183,
Djokovic N.,Serbia,187,80,22/05/1987,1,184,22.8774057
Boeker M.,USA,,,11/12/1980,1,185,
Baccanello P.,Australia,,,12/06/1979,1,186,
Wassen R.,Netherlands,191,94,09/08/1976,1,187,25.76683753
Roger-Vasselin E.,France,187,75,28/11/1983,1,188,21.44756785
Zhu B.Q.,China,,,13/03/1979,1,189,
van Gemerden M.,Netherlands,183,75,09/05/1979,1,190,22.39541342
Tipsarevic J.,Serbia,180,80,22/06/1984,1,191,24.69135802
Wang Y.T.,Chinese Taipei,,,16/12/1994,1,192,
Thomann N.,France,,,29/11/1972,1,193,
Motomura G.,Japan,,,25/12/1973,1,194,
Gimelstob J.,USA,,,26/01/1977,1,195,
Terachi T.,Japan,,,08/07/1979,1,196,
Gicquel M.,France,187,75,30/03/1977,1,197,21.44756785
Monfils G.,France,193,85,01/09/1986,1,198,22.81940455
Kunitsyn I.,Russia,180,75,30/09/1981,1,199,23.14814815
Ryderstedt M.,Sweden,188,78,12/11/1984,0,200,22.06880942
Vico U.,Italy,188,83,19/02/1981,1,201,23.48347669
Luzzi F.,Italy,,,03/01/1980,1,202,
Wessels P.,Netherlands,,,07/05/1978,1,203,
Reynolds B.,USA,183,77,17/07/1982,1,204,22.99262444
Healey N.,Australia,,82,27/02/1980,1,205,
Widom T.,USA,,,24/04/1983,1,206,
Gabashvili T.,Russia,188,83,23/05/1985,1,207,23.48347669
Simon G.,,,,,,208,
Sa A.,,,,,,209,
Massa E.,,,,,,210,
Wawrinka S.,Switzerland,182,79,28/03/1985,1,211,23.8497766
Lapentti G.,Ecuador,193,91,25/01/1983,1,212,24.43018605
Navarro-Pastor I.,Spain,183,86,19/10/1981,1,213,25.68007405
Fogues F.,Spain,,,06/08/1977,0,214,
Marin J.A.,Costa Rica,175,73,02/03/1975,1,215,23.83673469
Mertinak M.,Slovakia,185,92,11/10/1979,1,216,26.88093499
Dlouhy L.,Czech Republic,185,88,09/04/1983,1,217,25.71219869
Rettenmaier T.,USA,188,84,06/08/1983,1,218,23.76641014
di Mauro A.,Italy,185,71,09/08/1977,0,219,20.74506939
Sherwood D.,Great Britain,,,06/05/1980,1,220,
Udomchoke D.,Thailand,173,64,11/08/1981,1,221,21.383942
Vinciguerra A.,Sweden,180,73,19/02/1981,0,222,22.5308642
Sabau R.,Romania,185,76,18/06/1977,1,223,22.20598977
Vemic D.,Serbia,188,91,17/06/1976,1,224,25.74694432
Mergea F.,Romania,178,78,26/01/1985,1,225,24.61810377
Bastl G.,Switzerland,183,85,01/04/1975,1,226,25.38146854
Marach O.,Austria,185,85,16/07/1980,1,227,24.83564646
Hadad A.,Israel,,,17/02/1978,1,228,
Fleishman Z.,USA,187,84,17/03/1980,1,229,24.02127599
Bozoljac I.,Serbia,193,86,02/08/1985,1,230,23.08786813
Chadaj A.,Poland,178,72,01/05/1984,0,231,22.72440348
El Aynaoui Y.,Morocco,,,12/09/1971,1,232,
Jenkins S.,USA,,,23/08/1986,1,233,
Ram A.,,,,,,234,
Capdeville P.,Chile,190,78,02/04/1983,1,235,21.6066482
Lammer M.,Switzerland,185,80,25/03/1982,1,236,23.37472608
Wang Y. Jr,China,,,01/08/1981,0,237,
Matsui T.,Japan,178,76,19/04/1978,1,238,23.98687034
Gremelmayr D.,Germany,183,73,16/08/1981,0,239,21.79820239
Taino E.,Philippines,,,18/03/1975,0,240,
Karanusic R.,Croatia,183,75,05/09/1982,1,241,22.39541342
Eitzinger R.,Austria,178,65,28/06/1983,1,242,20.51508648
Berrer M.,Germany,190,99,01/07/1980,0,243,27.42382271
Bopanna R.,India,193,84,04/03/1980,1,244,22.55094096
Faurel J.C.,France,,,06/03/1981,1,245,
Greul S.,Germany,185,80,13/04/1981,1,246,23.37472608
Gimeno-Traver D.,Spain,183,80,07/08/1985,1,247,23.88844098
Marcaccio G.,Argentina,,,03/05/1977,1,248,
Del Potro J.M.,Argentina,198,97,23/09/1988,1,249,24.74237323
Friedl L.,Czech Republic,183,80,01/01/1977,1,250,23.88844098
Korolev E.,Kazakhstan,185,81,14/02/1988,1,251,23.66691015
Warburg S.,USA,191,85,29/04/1983,1,252,23.2997999
Ghem A.,Brazil,193,86,29/05/1982,1,253,23.08786813
Meffert D.,Germany,198,92,09/04/1981,1,254,23.46699316
Daniel M.,,,,,,255,
Klec I.,Slovakia,183,79,28/11/1980,1,256,23.58983547
Al Ghareeb M.,Kuwait,,,22/07/1980,1,257,
Querry S.,,,,,,258,
Berlocq C.,Argentina,182,75,03/02/1983,1,259,22.64219297
